rank,token_id,token,dot_product
1,142855, совершен,1.8766733359775665
2,57034, joking,1.8452267392591533
3,121508,漪,1.8441633162569988
4,93372, UserType,1.838754510447228
5,114307,俗话说,1.8030482568275352
6,16087, opposed,1.7698259032149481
7,110991,面对面,1.7417885654963066
8,134456, Ча,1.6907284481997562
9,90494, smack,1.683254353930561
10,110744,希望能够,1.6769942043807866
11,43137,izzle,1.676368354153281
12,62829, consort,1.6713514660790676
13,6670,orge,1.6448159086745573
14,97366,utely,1.6434168489459102
15,91197, setPosition,1.6369989304979025
16,70362, extrapol,1.6339318768656994
17,75055, Thur,1.6161827924808523
18,61010,ExceptionHandler,1.6006818402960192
19,121715,磬,1.596922368261664
20,78119, Colleges,1.596151776525551
21,69618, gigg,1.5848714694687045
22,104211,提醒,1.5721283315064585
23,112177,开玩笑,1.5703338320946705
24,33490,PART,1.569731263530826
25,51492,iconductor,1.568967448032965
26,78988,"×

",1.5614755563525007
27,75789,EntityType,1.5506006288723722
28,118035,愚蠢,1.5348239778008268
29,60975,streams,1.533769899598556
30,45295, пользоват,1.5337617682307771
31,19759,FACE,1.527919801220774
32,110866,谁都,1.520171779890517
33,117363,倒霉,1.5176112240771986
34,89889,comic,1.5173331641335124
35,34056, Comics,1.5120604746461037
36,105069,制品,1.506608946065544
37,14869,ysql,1.505872969199783
38,42202,fragment,1.5041194231572952
39,62204,esktop,1.5017715070433768
40,52653,NSObject,1.5013542322420195
41,47005,authors,1.4977515006677755
42,97395, Monterey,1.4961558231453342
43,76553, retrospect,1.495151694524818
44,28059, comics,1.4939732407654467
45,10430,uke,1.49292024088819
46,34906, Mob,1.4901979847557736
47,96706, snork,1.4892009339366499
48,138394, bölümü,1.4880623476770796
49,110169,盈利能力,1.4877097546105893
50,91551, unsus,1.4858702378517723
